MatchID,InningsNo,Team,PlayerName,Overs,Maidens,Runs,Wickets,Wides,NoBalls,Economy,BowlingOrder,TotalLegalBallsBowled,DotBalls,Ones,Twos,Threes,Fours,Sixes,StrikeRate
1,1,KKR,Umesh Yadav,4.0,0,20,2,2,1,5.0,1,24,15,7,0,0,1,1,12.0
1,1,KKR,Shivam Mavi,4.0,0,35,0,1,1,8.75,2,24,12,7,1,0,3,2,0.0
1,1,KKR,Varun Chakaravarthy,4.0,0,23,1,1,0,5.75,3,24,11,10,1,0,1,1,24.0
1,1,KKR,Sunil Narine,4.0,0,15,0,0,0,3.75,4,24,10,13,1,0,0,0,0.0
1,1,KKR,Andre Russell,4.0,0,38,1,0,0,9.5,5,24,7,10,1,0,5,1,24.0
1,2,CSK,Tushar Deshpande,3.0,0,23,0,0,0,7.67,1,18,9,3,2,0,4,0,0.0
1,2,CSK,Adam Milne,2.3,0,19,0,0,0,7.6,2,15,9,1,2,0,2,1,0.0
1,2,CSK,Mitchell Santner,4.0,0,31,1,0,0,7.75,3,24,5,13,4,0,1,1,24.0
1,2,CSK,Dwayne Bravo,4.0,0,20,3,0,0,5.0,4,24,11,10,1,0,2,0,8.0
1,2,CSK,Shivam Dube,1.0,0,11,0,0,0,11.0,5,6,1,3,0,0,3,0,0.0
1,2,CSK,Ravindra Jadeja,4.0,0,25,0,0,0,6.25,6,24,8,13,1,0,1,1,0.0
2,1,DC,Shardul Thakur,4.0,0,47,0,1,0,11.75,1,24,8,8,1,0,3,4,0.0
2,1,DC,Khaleel Ahmed,4.0,0,27,2,0,0,6.75,2,24,13,5,1,0,5,0,12.0
2,1,DC,Axar Patel,4.0,0,40,0,0,0,10.0,3,24,3,14,2,0,4,1,0.0
2,1,DC,Kamlesh Nagarkoti,2.0,0,29,0,1,0,14.5,4,12,4,2,0,0,5,1,0.0
2,1,DC,Kuldeep Yadav,4.0,0,18,3,0,0,4.5,5,24,8,14,2,0,0,0,8.0
2,1,DC,Lalit Yadav,2.0,0,15,0,0,0,7.5,6,12,2,7,2,0,1,0,0.0
2,2,MI,Daniel Sams,4.0,0,57,0,2,0,14.25,1,24,4,9,2,0,6,3,0.0
2,2,MI,Jasprit Bumrah,3.2,0,43,0,0,0,12.9,2,20,4,7,1,0,7,1,0.0
2,2,MI,Basil Thampi,4.0,0,35,3,3,0,8.75,3,24,11,7,1,1,3,2,8.0
2,2,MI,Murugan Ashwin,4.0,0,14,2,0,0,3.5,4,24,14,8,1,0,1,0,12.0
2,2,MI,Tymal Mills,3.0,0,26,1,2,0,8.67,5,18,6,8,1,0,2,1,18.0
3,1,PBSK,Sandeep Sharma,4.0,0,37,0,0,0,9.25,1,24,10,7,1,0,4,2,0.0
3,1,PBSK,Arshdeep Singh,4.0,0,31,1,3,0,7.75,2,24,11,10,1,0,2,2,24.0
3,1,PBSK,Odean Smith,4.0,0,52,0,1,0,13.0,3,24,9,5,1,0,5,4,0.0
3,1,PBSK,Rahul Chahar,4.0,0,22,1,1,0,5.5,4,24,8,11,5,0,1,0,24.0
3,1,PBSK,Harpreet Brar,3.0,0,38,0,1,0,12.67,5,18,5,6,3,0,0,4,0.0
3,1,PBSK,Liam Livingstone,1.0,0,14,0,1,0,14.0,6,6,1,1,3,0,0,1,0.0
3,2,RCB,David Willey,3.0,0,28,0,0,0,9.33,1,18,5,8,1,0,3,1,0.0
3,2,RCB,Mohammed Siraj,4.0,0,59,2,6,0,14.75,2,24,9,7,1,0,5,4,12.0
3,2,RCB,Shahbaz Ahmed,1.0,0,6,0,0,0,6.0,3,6,3,2,0,0,1,0,0.0
3,2,RCB,Akash Deep,3.0,0,38,1,0,0,12.67,4,18,4,6,3,0,2,3,18.0
3,2,RCB,Wanindu Hasaranga,4.0,0,40,1,1,0,10.0,5,24,10,8,1,0,1,4,24.0
3,2,RCB,Harshal Patel,4.0,0,36,1,5,0,9.0,6,24,10,7,4,0,1,2,24.0
4,1,GT,Mohammad Shami,4.0,0,25,3,0,0,6.25,1,24,13,6,0,1,4,0,8.0
4,1,GT,Varun Aaron,4.0,0,45,2,3,0,11.25,2,24,5,12,0,0,6,1,12.0
4,1,GT,Lockie Ferguson,4.0,0,24,0,1,0,6.0,3,24,11,9,2,0,1,1,0.0
4,1,GT,Hardik Pandya,4.0,0,37,0,0,0,9.25,4,24,10,7,0,0,6,1,0.0
4,1,GT,Rashid Khan,4.0,0,27,1,0,0,6.75,5,24,8,13,1,0,0,2,24.0
4,2,LSG,Dushmantha Chameera,3.0,0,22,2,1,0,7.33,1,18,11,1,2,0,5,0,9.0
4,2,LSG,Avesh Khan,3.4,0,33,1,0,0,9.0,2,22,10,5,1,0,5,1,22.0
4,2,LSG,Mohsin Khan,2.0,0,18,0,0,0,9.0,3,12,4,4,1,0,3,0,0.0
4,2,LSG,Ravi Bishnoi,4.0,0,34,0,2,0,8.5,4,24,11,8,0,0,3,2,0.0
4,2,LSG,Krunal Pandya,4.0,0,17,1,0,0,4.25,5,24,12,9,2,0,1,0,24.0
4,2,LSG,Deepak Hooda,3.0,0,31,1,0,0,10.33,6,18,3,11,0,0,2,2,18.0
5,1,SRH,Bhuvneshwar Kumar,4.0,0,29,1,1,2,7.25,1,24,14,6,0,0,2,2,24.0
5,1,SRH,Romario Shepherd,4.0,0,33,1,1,0,8.25,2,24,12,6,1,0,3,2,24.0
5,1,SRH,Umran Malik,4.0,0,39,2,2,1,9.75,3,24,12,6,1,0,4,2,12.0
5,1,SRH,Washington Sundar,3.0,0,47,0,0,1,15.67,4,18,3,8,2,0,1,5,0.0
5,1,SRH,T Natarajan,4.0,0,43,2,2,0,10.75,5,24,8,9,0,0,5,2,12.0
5,1,SRH,Abhishek Sharma,1.0,0,15,0,0,0,15.0,6,6,1,1,2,0,1,1,0.0
5,2,RR,Trent Boult,4.0,1,23,2,3,0,5.75,1,24,16,4,1,0,3,1,12.0
5,2,RR,Prasidh Krishna,4.0,1,16,2,0,0,4.0,2,24,16,6,0,0,1,1,12.0
5,2,RR,Nathan Coulter-Nile,3.0,0,48,0,1,1,16.0,3,18,4,4,2,0,5,3,0.0
5,2,RR,Ravichandran Ashwin,4.0,0,21,0,0,0,5.25,4,24,8,13,2,0,1,0,0.0
5,2,RR,Yuzvendra Chahal,4.0,0,22,3,0,0,5.5,5,24,8,12,3,0,1,0,8.0
5,2,RR,Riyan Parag,1.0,0,14,0,0,0,14.0,6,6,0,4,0,0,1,1,0.0
6,1,RCB,David Willey,2.0,0,7,0,0,0,3.5,1,12,6,5,1,0,0,0,0.0
6,1,RCB,Mohammed Siraj,4.0,0,25,1,0,0,6.25,2,24,13,5,2,0,4,0,24.0
6,1,RCB,Akash Deep,3.5,0,45,3,0,1,11.74,3,23,10,4,1,0,5,3,7.67
6,1,RCB,Wanindu Hasaranga,4.0,0,20,4,0,0,5.0,4,24,15,6,1,0,0,2,6.0
6,1,RCB,Harshal Patel,4.0,2,11,2,0,0,2.75,5,24,19,3,0,0,2,0,12.0
6,1,RCB,Shahbaz Ahmed,1.0,0,16,0,1,0,16.0,6,6,2,1,1,0,0,2,0.0
6,2,KKR,Umesh Yadav,4.0,0,16,2,0,0,4.0,1,24,14,8,0,0,3,0,12.0
6,2,KKR,Tim Southee,4.0,0,20,3,2,0,5.0,2,24,16,3,2,1,2,0,8.0
6,2,KKR,Andre Russell,2.2,0,36,0,1,1,15.43,3,14,6,4,0,0,3,3,0.0
6,2,KKR,Sunil Narine,4.0,0,12,1,0,0,3.0,4,24,13,10,1,0,0,0,24.0
6,2,KKR,Varun Chakaravarthy,4.0,0,33,1,1,0,8.25,5,24,11,8,0,0,3,2,24.0
6,2,KKR,Venkatesh Iyer,1.0,0,10,0,0,0,10.0,6,6,2,2,0,0,2,0,0.0
7,1,LSG,Avesh Khan,4.0,0,38,2,0,0,9.5,1,24,12,4,1,0,6,2,12.0
7,1,LSG,Dushmantha Chameera,4.0,0,49,0,1,0,12.25,2,24,6,8,2,0,6,2,0.0
7,1,LSG,Andrew Tye,4.0,0,40,2,1,0,10.0,3,24,10,5,2,0,6,1,12.0
7,1,LSG,Krunal Pandya,3.0,0,36,0,1,0,12.0,4,18,3,9,1,0,3,2,0.0
7,1,LSG,Ravi Bishnoi,4.0,0,24,2,0,0,6.0,5,24,11,8,2,0,4,0,12.0
7,1,LSG,Deepak Hooda,1.0,0,12,0,0,0,12.0,6,6,2,2,0,0,1,1,0.0
7,2,CSK,Mukesh Choudhary,3.3,0,39,0,3,0,11.14,1,21,8,6,1,0,4,2,0.0
7,2,CSK,Tushar Deshpande,4.0,0,40,1,1,0,10.0,2,24,9,7,1,0,7,1,24.0
7,2,CSK,Dwayne Bravo,4.0,0,35,1,3,0,8.75,3,24,6,12,3,0,2,1,24.0
7,2,CSK,Ravindra Jadeja,2.0,0,21,0,0,0,10.5,4,12,3,5,1,0,2,1,0.0
7,2,CSK,Moeen Ali,1.0,0,14,0,0,0,14.0,5,6,1,2,1,0,1,1,0.0
7,2,CSK,Dwaine Pretorius,4.0,0,31,2,3,0,7.75,6,24,9,8,5,0,1,1,12.0
7,2,CSK,Shivam Dube,1.0,0,25,0,2,0,25.0,7,6,0,1,1,0,2,2,0.0
8,1,KKR,Umesh Yadav,4.0,1,23,4,0,1,5.75,1,24,13,8,0,0,2,1,6.0
8,1,KKR,Tim Southee,4.0,0,36,2,0,1,9.0,2,24,14,3,0,0,5,2,12.0
8,1,KKR,Shivam Mavi,2.0,0,39,1,2,0,19.5,3,12,4,1,0,0,3,4,12.0
8,1,KKR,Varun Chakaravarthy,4.0,0,14,0,2,0,3.5,4,24,14,9,0,1,0,0,0.0
8,1,KKR,Sunil Narine,4.0,0,23,1,2,0,5.75,5,24,13,8,1,0,1,1,24.0
8,1,KKR,Andre Russell,0.2,0,0,1,0,0,0.0,6,2,2,0,0,0,0,0,2.0
8,2,PBSK,Arshdeep Singh,3.0,0,32,0,0,1,10.67,1,18,9,3,1,0,5,1,0.0
8,2,PBSK,Kagiso Rabada,3.0,0,23,1,1,0,7.67,2,18,8,4,3,0,3,0,18.0
8,2,PBSK,Odean Smith,2.0,0,39,1,0,1,19.5,3,12,4,2,0,0,3,4,12.0
8,2,PBSK,Rahul Chahar,4.0,1,13,2,1,0,3.25,4,24,13,10,1,0,0,0,12.0
8,2,PBSK,Harpreet Brar,2.0,0,20,0,1,0,10.0,5,12,4,5,1,0,0,2,0.0
8,2,PBSK,Liam Livingstone,0.3,0,13,0,0,0,26.0,6,3,0,1,0,0,0,2,0.0
9,1,MI,Jasprit Bumrah,4.0,0,17,3,0,0,4.25,1,24,16,5,0,0,3,0,8.0
9,1,MI,Daniel Sams,4.0,0,32,0,2,0,8.0,2,24,10,10,0,0,2,2,0.0
9,1,MI,Basil Thampi,1.0,0,26,0,0,0,26.0,3,6,1,0,0,0,2,3,0.0
9,1,MI,Murugan Ashwin,3.0,0,32,0,3,0,10.67,4,18,6,7,1,0,2,2,0.0
9,1,MI,Tymal Mills,4.0,0,35,3,0,0,8.75,5,24,10,7,2,0,3,2,8.0
9,1,MI,Kieron Pollard,4.0,0,46,1,1,0,11.5,6,24,5,11,1,0,6,2,24.0
9,2,RR,Trent Boult,4.0,0,29,1,1,0,7.25,1,24,11,8,1,0,3,1,24.0
9,2,RR,Prasidh Krishna,4.0,0,37,1,5,1,9.25,2,24,13,3,3,0,4,1,24.0
9,2,RR,Navdeep Saini,3.0,0,36,2,1,1,12.0,3,18,8,4,1,0,4,2,9.0
9,2,RR,Ravichandran Ashwin,4.0,0,30,1,0,0,7.5,4,24,6,14,2,0,0,2,24.0
9,2,RR,Yuzvendra Chahal,4.0,0,26,2,1,0,6.5,5,24,11,9,1,0,2,1,12.0
9,2,RR,Riyan Parag,1.0,0,11,0,0,0,11.0,6,6,1,3,1,0,0,1,0.0
10,1,DC,Mustafizur Rahman,4.0,0,23,3,1,0,5.75,1,24,7,14,2,0,1,0,8.0
10,1,DC,Shardul Thakur,4.0,0,42,0,2,1,10.5,2,24,6,11,3,0,4,1,0.0
10,1,DC,Khaleel Ahmed,4.0,0,34,2,0,0,8.5,3,24,7,10,2,0,5,0,12.0
10,1,DC,Axar Patel,4.0,0,37,0,0,0,9.25,4,24,7,11,2,0,1,3,0.0
10,1,DC,Kuldeep Yadav,4.0,0,32,1,0,0,8.0,5,24,10,6,4,0,3,1,24.0
10,2,GT,Mohammad Shami,4.0,0,30,2,0,0,7.5,1,24,10,8,1,0,5,0,12.0
10,2,GT,Hardik Pandya,4.0,0,22,1,0,0,5.5,2,24,11,8,3,0,2,0,24.0
10,2,GT,Lockie Ferguson,4.0,0,28,4,1,0,7.0,3,24,12,7,0,0,5,0,6.0
10,2,GT,Rashid Khan,4.0,0,30,1,1,0,7.5,4,24,9,11,2,0,2,1,24.0
10,2,GT,Varun Aaron,1.0,0,7,0,0,0,7.0,5,6,2,3,0,0,1,0,0.0
10,2,GT,Vijay Shankar,1.0,0,14,0,1,0,14.0,6,6,2,1,0,0,3,0,0.0
10,2,GT,Rahul Tewatia,2.0,0,22,0,0,0,11.0,7,12,3,6,0,0,1,2,0.0
11,1,CSK,Mukesh Choudhary,4.0,0,52,1,3,0,13.0,1,24,11,3,1,0,5,4,24.0
11,1,CSK,Chris Jordan,4.0,0,23,2,1,0,5.75,2,24,12,7,3,1,0,1,12.0
11,1,CSK,Dwayne Bravo,3.0,0,32,1,2,0,10.67,3,18,8,4,1,0,3,2,18.0
11,1,CSK,Ravindra Jadeja,4.0,0,34,1,3,0,8.5,4,24,10,9,1,0,2,2,24.0
11,1,CSK,Dwaine Pretorius,4.0,0,30,2,4,0,7.5,5,24,11,8,2,0,2,1,12.0
11,1,CSK,Moeen Ali,1.0,0,8,0,0,0,8.0,6,6,3,2,0,0,0,1,0.0
11,2,PBSK,Vaibhav Arora,4.0,0,21,2,1,0,5.25,1,24,14,6,1,0,3,0,12.0
11,2,PBSK,Kagiso Rabada,3.0,0,28,1,0,2,9.33,2,18,11,4,1,0,2,2,18.0
11,2,PBSK,Arshdeep Singh,2.0,0,13,1,0,0,6.5,3,12,5,5,0,0,2,0,12.0
11,2,PBSK,Odean Smith,2.0,0,14,1,0,0,7.0,4,12,6,4,0,0,1,1,12.0
11,2,PBSK,Rahul Chahar,4.0,0,25,3,0,0,6.25,5,24,9,11,2,0,1,1,8.0
11,2,PBSK,Liam Livingstone,3.0,0,25,2,1,0,8.33,6,18,7,6,2,0,2,1,9.0
12,1,SRH,Bhuvneshwar Kumar,4.0,0,25,0,0,0,6.25,1,24,7,11,5,0,1,0,0.0
12,1,SRH,Washington Sundar,4.0,0,28,2,0,0,7.0,2,24,10,10,0,0,3,1,12.0
12,1,SRH,Romario Shepherd,4.0,0,42,2,1,0,10.5,3,24,10,7,1,0,3,3,12.0
12,1,SRH,Umran Malik,3.0,0,39,0,0,0,13.0,4,18,4,7,0,0,5,2,0.0
12,1,SRH,Abdul Samad,1.0,0,8,0,0,0,8.0,5,6,1,4,0,0,1,0,0.0
12,1,SRH,T Natarajan,4.0,0,26,2,0,0,6.5,6,24,6,12,5,0,1,0,12.0
12,2,LSG,Jason Holder,4.0,0,34,3,2,0,8.5,1,24,8,11,0,1,3,1,8.0
12,2,LSG,Krunal Pandya,4.0,0,27,2,0,0,6.75,2,24,8,13,1,0,0,2,12.0
12,2,LSG,Avesh Khan,4.0,0,24,4,1,0,6.0,3,24,15,4,1,1,2,1,6.0
12,2,LSG,Andrew Tye,4.0,0,39,0,1,0,9.75,4,24,6,12,0,0,6,1,0.0
12,2,LSG,Ravi Bishnoi,4.0,0,29,0,1,1,7.25,5,24,5,15,2,0,2,0,0.0
13,1,RCB,Mohammed Siraj,4.0,0,43,0,2,0,10.75,1,24,8,9,2,0,1,4,0.0
13,1,RCB,David Willey,4.0,0,29,1,0,0,7.25,2,24,8,11,2,0,2,1,24.0
13,1,RCB,Akash Deep,4.0,0,44,0,0,1,11.0,3,24,6,9,5,0,0,4,0.0
13,1,RCB,Wanindu Hasaranga,4.0,0,32,1,0,0,8.0,4,24,10,8,2,0,2,2,24.0
13,1,RCB,Harshal Patel,4.0,0,18,1,2,0,4.5,5,24,11,12,0,0,1,0,24.0
13,2,RR,Trent Boult,4.0,0,34,2,0,0,8.5,1,24,9,8,2,0,4,1,12.0
13,2,RR,Prasidh Krishna,4.0,0,40,0,2,0,10.0,2,24,9,8,0,0,6,1,0.0
13,2,RR,Ravichandran Ashwin,4.0,0,39,0,3,1,9.75,3,24,10,9,0,0,5,1,0.0
13,2,RR,Yuzvendra Chahal,4.0,0,15,2,0,0,3.75,4,24,12,11,0,0,1,0,12.0
13,2,RR,Navdeep Saini,3.0,0,36,1,1,0,12.0,5,18,2,9,2,0,4,1,18.0
13,2,RR,Yashasvi Jaiswal,0.1,0,6,0,0,0,36.0,6,1,0,0,0,0,0,1,0.0
14,1,KKR,Umesh Yadav,4.0,0,25,1,0,0,6.25,1,24,12,7,2,0,2,1,24.0
14,1,KKR,Rasikh Salam,3.0,0,18,0,0,0,6.0,2,18,6,10,0,0,2,0,0.0
14,1,KKR,Pat Cummins,4.0,0,49,2,1,0,12.25,3,24,9,6,2,0,2,5,12.0
14,1,KKR,Sunil Narine,4.0,0,26,0,0,0,6.5,4,24,8,12,2,0,1,1,0.0
14,1,KKR,Varun Chakaravarthy,4.0,0,32,1,0,0,8.0,5,24,8,12,0,0,2,2,24.0
14,1,KKR,Andre Russell,1.0,0,9,0,0,0,9.0,6,6,3,1,0,0,2,0,0.0
14,2,MI,Basil Thampi,3.0,0,15,0,0,0,5.0,1,18,11,5,0,0,1,1,0.0
14,2,MI,Daniel Sams,3.0,0,50,1,0,1,16.67,2,18,4,5,2,0,4,4,18.0
14,2,MI,Jasprit Bumrah,3.0,0,26,0,0,0,8.67,3,18,7,6,1,0,3,1,0.0
14,2,MI,Tymal Mills,3.0,0,38,2,0,0,12.67,4,18,5,4,3,0,4,2,9.0
14,2,MI,Tilak Varma,1.0,0,6,0,0,0,6.0,5,6,3,2,0,0,1,0,0.0
14,2,MI,Murugan Ashwin,3.0,0,25,2,0,0,8.33,6,18,8,7,0,0,0,3,9.0
15,1,LSG,Jason Holder,4.0,0,30,0,3,0,7.5,1,24,8,12,1,1,1,1,0.0
15,1,LSG,Krishnappa Gowtham,4.0,1,23,1,0,0,5.75,2,24,15,5,0,0,3,1,24.0
15,1,LSG,Avesh Khan,3.0,0,32,0,0,0,10.67,3,18,5,6,1,0,6,0,0.0
15,1,LSG,Ravi Bishnoi,4.0,0,22,2,0,0,5.5,4,24,12,8,1,0,3,0,12.0
15,1,LSG,Andrew Tye,3.0,0,28,0,1,0,9.33,5,18,8,5,1,0,2,2,0.0
15,1,LSG,Krunal Pandya,2.0,0,12,0,0,0,6.0,6,12,2,8,2,0,0,0,0.0
15,2,DC,Mustafizur Rahman,4.0,0,26,0,2,0,6.5,1,24,8,12,3,0,0,1,0.0
15,2,DC,Lalit Yadav,4.0,0,21,1,0,0,5.25,2,24,10,9,4,0,1,0,24.0
15,2,DC,Shardul Thakur,3.4,0,29,1,0,0,7.91,3,22,9,7,2,0,3,1,22.0
15,2,DC,Anrich Nortje,2.2,0,35,0,0,2,15.0,4,14,2,7,1,0,3,2,0.0
15,2,DC,Axar Patel,2.0,0,11,0,0,0,5.5,5,12,5,5,1,0,1,0,0.0
15,2,DC,Kuldeep Yadav,3.4,0,31,2,0,0,8.45,6,22,6,11,1,0,3,1,11.0
16,1,GT,Mohammad Shami,4.0,0,36,1,0,0,9.0,1,24,11,6,1,0,4,2,24.0
16,1,GT,Hardik Pandya,4.0,0,36,1,1,0,9.0,2,24,10,7,0,2,4,1,24.0
16,1,GT,Lockie Ferguson,4.0,0,33,1,1,0,8.25,3,24,10,6,3,0,5,0,24.0
16,1,GT,Rashid Khan,4.0,0,22,3,0,0,5.5,4,24,10,10,3,0,0,1,8.0
16,1,GT,Darshan Nalkande,3.0,0,37,2,1,0,12.33,5,18,4,8,0,0,4,2,9.0
16,1,GT,Rahul Tewatia,1.0,0,24,0,0,0,24.0,6,6,0,2,0,0,1,3,0.0
16,2,PBSK,Vaibhav Arora,4.0,0,34,0,0,0,8.5,1,24,5,14,0,0,5,0,0.0
16,2,PBSK,Arshdeep Singh,4.0,0,31,0,1,0,7.75,2,24,10,8,1,0,5,0,0.0
16,2,PBSK,Kagiso Rabada,4.0,0,35,2,0,1,8.75,3,24,7,12,1,0,5,0,12.0
16,2,PBSK,Rahul Chahar,4.0,0,41,1,1,0,10.25,4,24,6,7,7,0,3,1,24.0
16,2,PBSK,Odean Smith,3.0,0,35,0,1,0,11.67,5,18,5,8,0,0,2,3,0.0
16,2,PBSK,Liam Livingstone,1.0,0,12,0,0,0,12.0,6,6,1,2,1,0,2,0,0.0
17,1,SRH,Bhuvneshwar Kumar,4.0,0,36,1,4,0,9.0,1,24,9,5,6,1,3,0,24.0
17,1,SRH,Marco Jansen,4.0,0,30,1,0,0,7.5,2,24,11,5,3,1,4,0,24.0
17,1,SRH,Washington Sundar,4.0,0,21,2,0,0,5.25,3,24,7,15,1,0,1,0,12.0
17,1,SRH,T Natarajan,4.0,0,30,2,1,0,7.5,4,24,6,15,0,0,2,1,12.0
17,1,SRH,Umran Malik,3.0,0,29,0,0,0,9.67,5,18,8,3,2,0,4,1,0.0
17,1,SRH,Aiden Markram,1.0,0,8,1,0,0,8.0,6,6,3,2,0,0,0,1,6.0
17,2,CSK,Mukesh Choudhary,4.0,0,30,1,0,0,7.5,1,24,11,8,1,0,2,2,24.0
17,2,CSK,Maheesh Theekshana,4.0,0,31,0,0,0,7.75,2,24,8,11,1,0,3,1,0.0
17,2,CSK,Chris Jordan,3.0,0,34,0,0,1,11.33,3,18,5,9,0,0,3,2,0.0
17,2,CSK,Ravindra Jadeja,3.0,0,21,0,0,0,7.0,4,18,4,9,4,0,1,0,0.0
17,2,CSK,Moeen Ali,1.0,0,10,0,0,0,10.0,5,6,1,4,0,0,0,1,0.0
17,2,CSK,Dwayne Bravo,2.4,0,29,1,3,0,10.88,6,16,4,6,2,0,4,0,16.0
18,1,RCB,David Willey,2.0,0,8,0,0,0,4.0,1,12,8,2,1,0,1,0,0.0
18,1,RCB,Mohammed Siraj,4.0,0,51,0,1,1,12.75,2,24,10,4,3,1,3,4,0.0
18,1,RCB,Wanindu Hasaranga,4.0,0,28,2,0,0,7.0,3,24,10,10,0,0,3,1,12.0
18,1,RCB,Akash Deep,4.0,1,20,1,0,0,5.0,4,24,14,6,1,0,3,0,24.0
18,1,RCB,Harshal Patel,4.0,0,23,2,0,0,5.75,5,24,14,5,2,0,2,1,12.0
18,1,RCB,Shahbaz Ahmed,2.0,0,19,0,0,0,9.5,6,12,4,5,0,0,2,1,0.0
18,2,MI,Basil Thampi,4.0,1,29,0,1,0,7.25,1,24,11,8,1,0,3,1,0.0
18,2,MI,Jaydev Unadkat,4.0,0,30,1,0,0,7.5,2,24,10,10,1,0,0,3,24.0
18,2,MI,Jasprit Bumrah,4.0,0,31,0,0,0,7.75,3,24,8,9,3,2,1,1,0.0
18,2,MI,Murugan Ashwin,3.0,0,26,0,1,0,8.67,4,18,8,5,1,0,3,1,0.0
18,2,MI,Kieron Pollard,3.0,0,24,0,1,0,8.0,5,18,3,13,0,0,1,1,0.0
18,2,MI,Dewald Brevis,0.3,0,8,1,0,0,16.0,6,3,1,0,0,0,2,0,3.0
19,1,KKR,Umesh Yadav,4.0,0,48,1,0,1,12.0,1,24,8,7,1,0,6,3,24.0
19,1,KKR,Rasikh Salam,1.0,0,10,0,0,0,10.0,2,6,2,2,0,0,2,0,0.0
